category,title,description,upvotes,has_images,hour,area,priority
pothole,Pothole issue in Whitefield,many potholes after rain. This is happening in Whitefield near the landmark.,27,1,20,Whitefield,high
pothole,Pothole issue in Malleshwaram,potholes everywhere on this stretch. This is happening in Malleshwaram near the landmark.,23,0,3,Malleshwaram,high
pothole,Pothole issue in Whitefield,gunda on main road. This is happening in Whitefield near the landmark.,21,0,11,Whitefield,high
pothole,Pothole issue in MG Road,dangerous crater on silk board flyover. This is happening in MG Road near the landmark.,10,0,15,MG Road,medium
pothole,Pothole issue in MG Road,"road condition is very bad, gunda blocking traffic. This is happening in MG Road near the landmark.",6,1,8,MG Road,medium
pothole,Pothole issue in Koramangala,"road condition is very bad, gunda blocking traffic. This is happening in Koramangala near the landmark.",2,1,16,Koramangala,medium
pothole,Pothole issue in MG Road,potholes everywhere on this stretch. This is happening in MG Road near the landmark.,43,1,3,MG Road,high
pothole,Pothole issue in Indiranagar,many potholes after rain. This is happening in Indiranagar near the landmark.,9,0,2,Indiranagar,medium
pothole,Pothole issue in HSR Layout,dangerous crater on silk board flyover. This is happening in HSR Layout near the landmark.,24,0,18,HSR Layout,high
pothole,Pothole issue in Koramangala,huge pothole on road. This is happening in Koramangala near the landmark.,49,0,5,Koramangala,high
pothole,Pothole issue in Jayanagar,damaged road near metro station. This is happening in Jayanagar near the landmark.,45,1,19,Jayanagar,high
pothole,Pothole issue in Jayanagar,dangerous crater on silk board flyover. This is happening in Jayanagar near the landmark.,31,1,6,Jayanagar,high
pothole,Pothole issue in Whitefield,deep hole in middle of street. This is happening in Whitefield near the landmark.,6,1,4,Whitefield,medium
pothole,Pothole issue in HSR Layout,potholes everywhere on this stretch. This is happening in HSR Layout near the landmark.,8,1,14,HSR Layout,medium
pothole,Pothole issue in MG Road,gunda on main road. This is happening in MG Road near the landmark.,0,0,23,MG Road,medium
pothole,Pothole issue in Whitefield,cracked pavement making it hard to drive. This is happening in Whitefield near the landmark.,2,1,9,Whitefield,medium
pothole,Pothole issue in Koramangala,damaged road near metro station. This is happening in Koramangala near the landmark.,48,0,17,Koramangala,high
pothole,Pothole issue in Malleshwaram,many potholes after rain. This is happening in Malleshwaram near the landmark.,42,0,16,Malleshwaram,high
pothole,Pothole issue in Koramangala,huge pothole on road. This is happening in Koramangala near the landmark.,24,1,4,Koramangala,high
pothole,Pothole issue in MG Road,gunda on main road. This is happening in MG Road near the landmark.,18,0,10,MG Road,high
pothole,Pothole issue in HSR Layout,dangerous crater on silk board flyover. This is happening in HSR Layout near the landmark.,21,1,6,HSR Layout,high
pothole,Pothole issue in Jayanagar,"road condition is very bad, gunda blocking traffic. This is happening in Jayanagar near the landmark.",5,1,11,Jayanagar,medium
pothole,Pothole issue in HSR Layout,many potholes after rain. This is happening in HSR Layout near the landmark.,21,0,20,HSR Layout,high
pothole,Pothole issue in Koramangala,deep hole in middle of street. This is happening in Koramangala near the landmark.,14,0,22,Koramangala,high
pothole,Pothole issue in Jayanagar,gunda on main road. This is happening in Jayanagar near the landmark.,17,0,5,Jayanagar,high
pothole,Pothole issue in Malleshwaram,"road condition is very bad, gunda blocking traffic. This is happening in Malleshwaram near the landmark.",40,0,5,Malleshwaram,high
pothole,Pothole issue in HSR Layout,damaged road near metro station. This is happening in HSR Layout near the landmark.,22,0,12,HSR Layout,high
pothole,Pothole issue in Malleshwaram,many potholes after rain. This is happening in Malleshwaram near the landmark.,33,0,13,Malleshwaram,high
pothole,Pothole issue in Whitefield,cracked pavement making it hard to drive. This is happening in Whitefield near the landmark.,3,1,19,Whitefield,medium
pothole,Pothole issue in Indiranagar,cracked pavement making it hard to drive. This is happening in Indiranagar near the landmark.,42,1,21,Indiranagar,high
pothole,Pothole issue in Indiranagar,dangerous crater on silk board flyover. This is happening in Indiranagar near the landmark.,30,1,4,Indiranagar,high
pothole,Pothole issue in HSR Layout,gunda on main road. This is happening in HSR Layout near the landmark.,2,1,17,HSR Layout,medium
pothole,Pothole issue in Koramangala,many potholes after rain. This is happening in Koramangala near the landmark.,25,0,0,Koramangala,high
pothole,Pothole issue in Whitefield,many potholes after rain. This is happening in Whitefield near the landmark.,47,1,10,Whitefield,high
pothole,Pothole issue in Jayanagar,"road condition is very bad, gunda blocking traffic. This is happening in Jayanagar near the landmark.",27,0,9,Jayanagar,high
pothole,Pothole issue in Koramangala,deep hole in middle of street. This is happening in Koramangala near the landmark.,11,0,13,Koramangala,high
pothole,Pothole issue in Whitefield,deep hole in middle of street. This is happening in Whitefield near the landmark.,13,1,12,Whitefield,high
pothole,Pothole issue in MG Road,huge pothole on road. This is happening in MG Road near the landmark.,39,1,15,MG Road,high
pothole,Pothole issue in Jayanagar,cracked pavement making it hard to drive. This is happening in Jayanagar near the landmark.,4,1,21,Jayanagar,medium
pothole,Pothole issue in Koramangala,deep hole in middle of street. This is happening in Koramangala near the landmark.,41,0,4,Koramangala,high
pothole,Pothole issue in Malleshwaram,"road condition is very bad, gunda blocking traffic. This is happening in Malleshwaram near the landmark.",8,1,19,Malleshwaram,medium
pothole,Pothole issue in Jayanagar,vehicle damage due to deep gunda on outer ring road. This is happening in Jayanagar near the landmark.,3,1,11,Jayanagar,medium
pothole,Pothole issue in Koramangala,vehicle damage due to deep gunda on outer ring road. This is happening in Koramangala near the landmark.,18,1,21,Koramangala,high
pothole,Pothole issue in Koramangala,many potholes after rain. This is happening in Koramangala near the landmark.,12,1,0,Koramangala,high
pothole,Pothole issue in Malleshwaram,gunda on main road. This is happening in Malleshwaram near the landmark.,9,1,22,Malleshwaram,medium
pothole,Pothole issue in Malleshwaram,vehicle damage due to deep gunda on outer ring road. This is happening in Malleshwaram near the landmark.,36,0,16,Malleshwaram,high
pothole,Pothole issue in Koramangala,huge pothole on road. This is happening in Koramangala near the landmark.,20,1,19,Koramangala,high
pothole,Pothole issue in MG Road,vehicle damage due to deep gunda on outer ring road. This is happening in MG Road near the landmark.,0,1,6,MG Road,medium
pothole,Pothole issue in Koramangala,gunda on main road. This is happening in Koramangala near the landmark.,21,1,18,Koramangala,high
pothole,Pothole issue in MG Road,vehicle damage due to deep gunda on outer ring road. This is happening in MG Road near the landmark.,39,0,23,MG Road,high
pothole,Pothole issue in MG Road,dangerous crater on silk board flyover. This is happening in MG Road near the landmark.,19,0,0,MG Road,high
pothole,Pothole issue in Indiranagar,damaged road near metro station. This is happening in Indiranagar near the landmark.,3,1,1,Indiranagar,medium
pothole,Pothole issue in MG Road,many potholes after rain. This is happening in MG Road near the landmark.,37,0,2,MG Road,high
pothole,Pothole issue in MG Road,cracked pavement making it hard to drive. This is happening in MG Road near the landmark.,7,1,12,MG Road,medium
pothole,Pothole issue in Malleshwaram,"road condition is very bad, gunda blocking traffic. This is happening in Malleshwaram near the landmark.",35,1,20,Malleshwaram,high
pothole,Pothole issue in Jayanagar,dangerous crater on silk board flyover. This is happening in Jayanagar near the landmark.,29,1,18,Jayanagar,high
pothole,Pothole issue in Malleshwaram,deep hole in middle of street. This is happening in Malleshwaram near the landmark.,2,1,18,Malleshwaram,medium
pothole,Pothole issue in Malleshwaram,damaged road near metro station. This is happening in Malleshwaram near the landmark.,7,0,1,Malleshwaram,medium
pothole,Pothole issue in Jayanagar,many potholes after rain. This is happening in Jayanagar near the landmark.,41,1,3,Jayanagar,high
pothole,Pothole issue in Malleshwaram,huge pothole on road. This is happening in Malleshwaram near the landmark.,26,1,15,Malleshwaram,high
pothole,Pothole issue in Koramangala,dangerous crater on silk board flyover. This is happening in Koramangala near the landmark.,10,1,12,Koramangala,medium
pothole,Pothole issue in MG Road,vehicle damage due to deep gunda on outer ring road. This is happening in MG Road near the landmark.,13,1,9,MG Road,high
pothole,Pothole issue in Koramangala,many potholes after rain. This is happening in Koramangala near the landmark.,18,1,11,Koramangala,high
pothole,Pothole issue in HSR Layout,damaged road near metro station. This is happening in HSR Layout near the landmark.,6,1,8,HSR Layout,medium
